Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,testSerialization,Long Statement,The length of the statement "ListBucketResultV2 iut=new ListBucketResultV2("bucketName"`"prefix/"`1000`false`createBucketContents(2)`Arrays.asList("prefix1/"`"prefix2/")`"continuationToken"`"2"`"nextContinuationToken"`"startAfter"`"url");" is 209.,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,testSerialization,Magic Number,The method contains a magic number: 1000,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,createBucketContents,Long Statement,The length of the statement "S3Object s3Object=new S3Object("key" + i`"2009-10-12T17:50:30.000Z"`"fba9dede5f27731c9771645a39863328"`"434234"`StorageClass.STANDARD`new Owner(10L + i`"displayName"));" is 168.,40
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,createBucketContents,Magic Number,The method contains a magic number: 10L,40
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,testSerialization,Long Statement,The length of the statement "ListMultipartUploadsResult iut=new ListMultipartUploadsResult("bucketName"`"keyMarker"`"/"`"prefix/"`"uploadIdMarker"`2`false`"nextKeyMarker"`"nextUploadIdMarker"`createMultipartUploads(2)`Arrays.asList("prefix1/"`"prefix2/"));" is 227.,30
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,createMultipartUploads,Long Statement,The length of the statement "MultipartUpload multipartUpload=new MultipartUpload("key" + i`"uploadId" + i`new Owner(10L + i`"displayName10" + i)`new Owner(100L + i`"displayName100" + i)`new Date(1514477008120L));" is 183.,41
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,createMultipartUploads,Magic Number,The method contains a magic number: 10L,41
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,createMultipartUploads,Magic Number,The method contains a magic number: 100L,41
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,createMultipartUploads,Magic Number,The method contains a magic number: 1514477008120L,41
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResultTest,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResultTest,createParts,Magic Number,The method contains a magic number: 1514477008120L,39
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResultTest,createParts,Magic Number,The method contains a magic number: 10L,39
S3Mock,com.adobe.testing.s3mock.dto,TaggingTest,testDeserialization,Magic Number,The method contains a magic number: 2,37
S3Mock,com.adobe.testing.s3mock,FileStoreController,listObjectsInsideBucket,Long Parameter List,The method has 6 parameters. ,275
S3Mock,com.adobe.testing.s3mock,FileStoreController,listObjectsInsideBucket,Long Statement,The length of the statement "return ResponseEntity.ok(new ListBucketResult(bucketName`returnPrefix`marker`maxKeys`isTruncated`encodingType`nextMarker`contents`returnCommonPrefixes));" is 153.,275
S3Mock,com.adobe.testing.s3mock,FileStoreController,listObjectsInsideBucketV2,Long Parameter List,The method has 7 parameters. ,349
S3Mock,com.adobe.testing.s3mock,FileStoreController,listObjectsInsideBucketV2,Long Statement,The length of the statement "return ResponseEntity.ok(new ListBucketResultV2(bucketName`returnPrefix`maxKeys`isTruncated`contents`returnCommonPrefixes`continuationToken`String.valueOf(contents.size())`nextContinuationToken`returnStartAfter`encodingtype));" is 226.,349
S3Mock,com.adobe.testing.s3mock,FileStoreController,listMultipartUploads,Long Statement,The length of the statement "final List<MultipartUpload> multipartUploads=fileStore.listMultipartUploads(bucketName).stream().filter(m -> isBlank(prefix) || m.getKey().startsWith(prefix)).map(m -> new MultipartUpload(decode(m.getKey())`m.getUploadId()`m.getOwner()`m.getInitiator()`m.getInitiated())).collect(Collectors.toList());" is 301.,440
S3Mock,com.adobe.testing.s3mock,FileStoreController,listMultipartUploads,Long Statement,The length of the statement "return ResponseEntity.ok(new ListMultipartUploadsResult(bucketName`keyMarker`delimiter`prefix`uploadIdMarker`maxUploads`isTruncated`nextKeyMarker`nextUploadIdMarker`multipartUploads`commonPrefixes));" is 199.,440
S3Mock,com.adobe.testing.s3mock,FileStoreController,listMultipartUploads,Magic Number,The method contains a magic number: 1000,440
S3Mock,com.adobe.testing.s3mock,FileStoreController,batchDeleteObjects,Long Statement,The length of the statement "response.addError(new com.adobe.testing.s3mock.dto.Error("NoSuchKey"`object.getKey()`"The specified key does not exist."`object.getVersionId()));" is 145.,493
S3Mock,com.adobe.testing.s3mock,FileStoreController,batchDeleteObjects,Long Statement,The length of the statement "response.addError(new com.adobe.testing.s3mock.dto.Error("InternalError"`object.getKey()`"We encountered an internal error. Please try again."`object.getVersionId()));" is 167.,493
S3Mock,com.adobe.testing.s3mock,FileStoreController,headObject,Long Statement,The length of the statement ").contentType(parseMediaType(s3Object.getContentType())).eTag("\"" + s3Object.getEtag() + "\"").contentLength(Long.parseLong(s3Object.getSize())).lastModified(s3Object.getLastModified()).build();" is 195.,547
S3Mock,com.adobe.testing.s3mock,FileStoreController,getObject,Long Parameter List,The method has 5 parameters. ,641
S3Mock,com.adobe.testing.s3mock,FileStoreController,getObject,Long Statement,The length of the statement "return ResponseEntity.ok().eTag("\"" + s3Object.getEtag() + "\"").header(HttpHeaders.CONTENT_ENCODING`s3Object.getContentEncoding()).header(HttpHeaders.ACCEPT_RANGES`RANGES_BYTES).headers(headers -> headers.setAll(createUserMetadataHeaders(s3Object))).headers(headers -> {" is 272.,641
S3Mock,com.adobe.testing.s3mock,FileStoreController,getObject,Long Statement,The length of the statement ").lastModified(s3Object.getLastModified()).contentLength(s3Object.getDataFile().length()).contentType(parseMediaType(s3Object.getContentType())).headers(headers -> headers.setAll(addOverrideHeaders(request.getQueryString()))).body(outputStream -> Files.copy(s3Object.getDataFile().toPath()`outputStream));" is 305.,641
S3Mock,com.adobe.testing.s3mock,FileStoreController,putObjectPart,Long Parameter List,The method has 7 parameters. ,798
S3Mock,com.adobe.testing.s3mock,FileStoreController,putObjectPart,Long Statement,The length of the statement "final String etag=fileStore.putPart(bucketName`filename`uploadId`partNumber`request.getInputStream()`isV4ChunkedWithSigningEnabled(sha256Header));" is 146.,798
S3Mock,com.adobe.testing.s3mock,FileStoreController,copyObjectPart,Long Parameter List,The method has 8 parameters. ,850
S3Mock,com.adobe.testing.s3mock,FileStoreController,copyObjectPart,Long Statement,The length of the statement "final String partEtag=fileStore.copyPart(copySource.getBucket()`copySource.getKey()`copyRange`partNumber`destinationBucket`destinationFile`uploadId);" is 149.,850
S3Mock,com.adobe.testing.s3mock,FileStoreController,putObject,Long Parameter List,The method has 9 parameters. ,908
S3Mock,com.adobe.testing.s3mock,FileStoreController,putObject,Long Statement,The length of the statement "s3Object=fileStore.putS3Object(bucketName`filename`parseMediaType(contentType).toString()`contentEncoding`stream`isV4ChunkedWithSigningEnabled(sha256Header)`userMetadata`encryption`kmsKeyId);" is 191.,908
S3Mock,com.adobe.testing.s3mock,FileStoreController,putObject,Long Statement,The length of the statement "return ResponseEntity.ok().eTag("\"" + s3Object.getEtag() + "\"").lastModified(s3Object.getLastModified()).header(X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID`kmsKeyId).build();" is 176.,908
S3Mock,com.adobe.testing.s3mock,FileStoreController,copyTo,Magic Number,The method contains a magic number: 8192,1000
S3Mock,com.adobe.testing.s3mock,FileStoreController,copyObject,Long Parameter List,The method has 6 parameters. ,1011
S3Mock,com.adobe.testing.s3mock,FileStoreController,copyObject,Long Statement,The length of the statement "copyObjectResult=fileStore.copyS3ObjectEncrypted(copySource.getBucket()`copySource.getKey()`destinationBucket`destinationFile`encryption`kmsKeyId`getUserMetadata(request));" is 172.,1011
S3Mock,com.adobe.testing.s3mock,FileStoreController,copyObject,Long Statement,The length of the statement "copyObjectResult=fileStore.copyS3ObjectEncrypted(copySource.getBucket()`copySource.getKey()`destinationBucket`destinationFile`encryption`kmsKeyId);" is 147.,1011
S3Mock,com.adobe.testing.s3mock,FileStoreController,initiateMultipartUpload,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(bucketName`filename`parseMediaType(request.getContentType()).toString()`request.getHeader(HttpHeaders.CONTENT_ENCODING)`uploadId`TEST_OWNER`TEST_OWNER`userMetadata);" is 198.,1077
S3Mock,com.adobe.testing.s3mock,FileStoreController,completeMultipartUpload,Long Parameter List,The method has 6 parameters. ,1117
S3Mock,com.adobe.testing.s3mock,FileStoreController,completeMultipartUpload,Long Statement,The length of the statement "final String eTag=fileStore.completeMultipartUpload(bucketName`filename`uploadId`requestBody.getParts()`encryption`kmsKeyId);" is 125.,1117
S3Mock,com.adobe.testing.s3mock,FileStoreController,completeMultipartUpload,Long Statement,The length of the statement "return ResponseEntity.ok(new CompleteMultipartUploadResult(request.getRequestURL().toString()`bucketName`filename`eTag));" is 121.,1117
S3Mock,com.adobe.testing.s3mock,FileStoreController,getObjectWithRange,Long Statement,The length of the statement "return ResponseEntity.status(PARTIAL_CONTENT.value()).headers(headers -> headers.setAll(createUserMetadataHeaders(s3Object))).header(HttpHeaders.ACCEPT_RANGES`RANGES_BYTES).header(HttpHeaders.CONTENT_RANGE`String.format("bytes %s-%s/%s"`range.getStart()`bytesToRead + range.getStart() - 1`s3Object.getSize())).eTag("\"" + s3Object.getEtag() + "\"").contentType(parseMediaType(s3Object.getContentType())).lastModified(s3Object.getLastModified()).contentLength(bytesToRead).body(outputStream -> {" is 494.,1161
S3Mock,com.adobe.testing.s3mock,FileStoreController,applyUrlEncoding,Long Statement,The length of the statement "return contents.stream().map(c -> new S3Object(encode(c.getKey())`c.getLastModified()`c.getEtag()`c.getSize()`c.getStorageClass()`c.getOwner())).collect(Collectors.toList());" is 174.,1237
S3Mock,com.adobe.testing.s3mock,FileStoreController,filterBucketContentsBy,Long Statement,The length of the statement "return contents.stream().filter(c -> commonPrefixes.stream().noneMatch(p -> c.getKey().startsWith(p))).collect(Collectors.toList());" is 132.,1259
S3Mock,com.adobe.testing.s3mock,FileStoreController,getBucketContents,Long Statement,The length of the statement "return s3Objects.stream().map(s3Object -> new S3Object(decode(s3Object.getName())`s3Object.getModificationDate()`s3Object.getEtag()`s3Object.getSize()`StorageClass.STANDARD`TEST_OWNER)).sorted(BUCKET_CONTENTS_COMPARATOR).collect(Collectors.toList());" is 250.,1274
S3Mock,com.adobe.testing.s3mock,FileStoreController,isV4ChunkedWithSigningEnabled,Long Identifier,The length of the field STREAMING_AWS_4_HMAC_SHA_256_PAYLOAD is 36.,1291
S3Mock,com.adobe.testing.s3mock,FileStoreController,addOverrideHeaders,Long Statement,The length of the statement "return Arrays.stream(query.split("&")).filter(param -> isNotBlank(mapHeaderName(decode(substringBefore(param`"="))))).collect(Collectors.toMap((param) -> mapHeaderName(decode(substringBefore(param`"=")))`(param) -> decode(substringAfter(param`"="))));" is 251.,1295
S3Mock,com.adobe.testing.s3mock,FileStoreController,mapHeaderName,Long Identifier,The length of the field RESPONSE_HEADER_CONTENT_DISPOSITION is 35.,1306
S3Mock,com.adobe.testing.s3mock,FileStoreController,mapHeaderName,Long Identifier,The length of the field RESPONSE_HEADER_CONTENT_ENCODING is 32.,1306
S3Mock,com.adobe.testing.s3mock,FileStoreController,mapHeaderName,Long Identifier,The length of the field RESPONSE_HEADER_CONTENT_LANGUAGE is 32.,1306
S3Mock,com.adobe.testing.s3mock,FileStoreController,verifyPartNumberLimits,Long Statement,The length of the statement "throw new S3Exception(BAD_REQUEST.value()`"InvalidRequest"`"Part number must be an integer between 1 and 10000` inclusive");" is 124.,1355
S3Mock,com.adobe.testing.s3mock,FileStoreController,verifyPartNumberLimits,Long Statement,The length of the statement "throw new S3Exception(BAD_REQUEST.value()`"InvalidRequest"`"Part number must be an integer between 1 and 10000` inclusive");" is 124.,1355
S3Mock,com.adobe.testing.s3mock,FileStoreController,verifyPartNumberLimits,Magic Number,The method contains a magic number: 10000,1355
S3Mock,com.adobe.testing.s3mock,FileStoreController,validateMultipartParts,Long Statement,The length of the statement "final Map<Integer`String> uploadedPartsMap=uploadedParts.stream().collect(Collectors.toMap(CompletedPart::getPartNumber`CompletedPart::getETag));" is 145.,1377
S3Mock,com.adobe.testing.s3mock,FileStoreController,validateMultipartParts,Long Statement,The length of the statement "if (!uploadedPartsMap.containsKey(part.getPartNumber()) || !uploadedPartsMap.get(part.getPartNumber()).equals(part.getETag().replaceAll("^\"|\"$"`""))) {" is 153.,1377
S3Mock,com.adobe.testing.s3mock,FileStoreController,validateMultipartParts,Long Statement,The length of the statement "throw new S3Exception(BAD_REQUEST.value()`"InvalidPart"`"One or more of the specified parts could not be found. The part might not have been " + "uploaded` or the specified entity tag might not have matched the part's entity" + " tag.");" is 237.,1377
S3Mock,com.adobe.testing.s3mock,FileStoreController,validateMultipartParts,Long Statement,The length of the statement "throw new S3Exception(BAD_REQUEST.value()`"InvalidPartOrder"`"The list of parts was not in ascending order. The parts list must be specified in " + "order by part number.");" is 173.,1377
S3Mock,com.adobe.testing.s3mock,FileStoreController,validateMultipartParts,Long Statement,The length of the statement "throw new S3Exception(BAD_REQUEST.value()`"EntityTooSmall"`"Your proposed upload is smaller than the minimum allowed object size. " + "Each part must be at least 5 MB in size` except the last part.");" is 200.,1407
S3Mock,com.adobe.testing.s3mock,FileStoreController,verifyMultipartUploadExists,Long Statement,The length of the statement "throw new S3Exception(NOT_FOUND.value()`"NoSuchUpload"`"The specified multipart upload does not exist. The upload ID might be invalid` or the " + "multipart upload might have been aborted or completed.");" is 204.,1424
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,doFilterInternal,Complex Conditional,The conditional expression AWS_KMS.equals(encryptionTypeHeader) && !isBlank(encryptionKeyId) && !keystore.validateKeyId(encryptionKeyId) is complex.,63
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,doFilterInternal,Complex Conditional,The conditional expression AWS_KMS.equals(encryptionTypeHeader) && !isBlank(encryptionKeyId) && keystore.validateKeyId(encryptionKeyId) is complex.,63
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,Long Identifier,The length of the field DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD is 37.,152
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,Long Identifier,The length of the field DEFAULT_SERVER_SSL_KEY_PASSWORD is 31.,152
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,Long Statement,The length of the statement "final ConfigurableApplicationContext ctx=new SpringApplicationBuilder(S3MockApplication.class).properties(translateLegacyProperties(defaults)).properties(translateLegacyProperties(properties)).bannerMode(bannerMode).run(args);" is 226.,152
S3Mock,com.adobe.testing.s3mock,ContextPathFileStoreControllerTest,testListBuckets_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/s3-mock/").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 322.,64
S3Mock,com.adobe.testing.s3mock,FaviconControllerTest,testFavicon,Long Statement,The length of the statement "MockHttpServletResponse response=mvc.perform(get("/favicon.ico").accept(MediaType.APPLICATION_JSON)).andReturn().getResponse();" is 127.,47
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListBuckets_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 314.,107
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListBuckets_Empty,Long Statement,The length of the statement "mockMvc.perform(get("/").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 314.,124
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testHeadBucket_Ok,Long Statement,The length of the statement "mockMvc.perform(head("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk());" is 159.,140
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testHeadBucket_NotFound,Long Statement,The length of the statement "mockMvc.perform(head("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isNotFound());" is 165.,151
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCreateBucket_Ok,Long Statement,The length of the statement "mockMvc.perform(put("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk());" is 158.,162
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCreateBucket_InternalServerError,Long Statement,The length of the statement "mockMvc.perform(put("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isInternalServerError());" is 175.,171
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testDeleteBucket_NoContent,Long Statement,The length of the statement "mockMvc.perform(delete("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isNoContent());" is 168.,183
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testDeleteBucket_NotFound,Long Statement,The length of the statement "mockMvc.perform(delete("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isNotFound());" is 167.,198
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testDeleteBucket_Conflict,Long Statement,The length of the statement "when(fileStore.getS3Objects(TEST_BUCKET_NAME`null)).thenReturn(Collections.singletonList(new com.adobe.testing.s3mock.store.S3Object()));" is 137.,213
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testDeleteBucket_Conflict,Long Statement,The length of the statement "mockMvc.perform(delete("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isConflict());" is 167.,213
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testDeleteBucket_InternalServerError,Long Statement,The length of the statement "mockMvc.perform(delete("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isInternalServerError());" is 178.,227
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListObjectsInsideBucket_BadRequest,Long Statement,The length of the statement "mockMvc.perform(get("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML).queryParam(MAX_KEYS`"-1")).andExpect(MockMvcResultMatchers.status().isBadRequest());" is 192.,241
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListObjectsInsideBucket_BadRequest,Long Statement,The length of the statement "mockMvc.perform(get("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML).queryParam(ENCODING_TYPE`"not_valid")).andExpect(MockMvcResultMatchers.status().isBadRequest());" is 204.,241
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListObjectsInsideBucket_InternalServerError,Long Statement,The length of the statement "mockMvc.perform(get("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isInternalServerError());" is 175.,260
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListObjectsInsideBucket_Ok,Long Statement,The length of the statement "ListBucketResult expected=new ListBucketResult(TEST_BUCKET_NAME`null`null`1000`false`null`null`Collections.singletonList(s3Object)`Collections.emptyList());" is 156.,274
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListObjectsInsideBucket_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/testBucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 324.,274
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testListObjectsInsideBucket_Ok,Magic Number,The method contains a magic number: 1000,274
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testPutObject_Ok,Long Statement,The length of the statement "when(fileStore.putS3Object(eq(TEST_BUCKET_NAME)`eq(key)`contains(MediaType.TEXT_PLAIN_VALUE)`isNull()`any(InputStream.class)`eq(false)`any(Map.class)`isNull()`isNull())).thenReturn(s3Object(key`digest));" is 203.,296
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testPutObject_Ok,Long Statement,The length of the statement "mockMvc.perform(put("/testBucket/" + key).accept(MediaType.APPLICATION_XML).contentType(MediaType.TEXT_PLAIN_VALUE).content(FileUtils.readFileToByteArray(testFile))).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string("etag"`"\"" + digest + "\""));" is 293.,296
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testPutObject_md5_Ok,Long Statement,The length of the statement "when(fileStore.putS3Object(eq(TEST_BUCKET_NAME)`eq(key)`contains(MediaType.TEXT_PLAIN_VALUE)`isNull()`any(InputStream.class)`eq(false)`any(Map.class)`isNull()`isNull())).thenReturn(s3Object(key`hexDigest));" is 206.,318
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testPutObject_md5_Ok,Long Statement,The length of the statement "mockMvc.perform(put("/testBucket/" + key).accept(MediaType.APPLICATION_XML).contentType(MediaType.TEXT_PLAIN_VALUE).header(CONTENT_MD5`base64Digest).content(FileUtils.readFileToByteArray(testFile))).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string("etag"`"\"" + hexDigest + "\""));" is 329.,318
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testPutObject_md5_BadRequest,Long Statement,The length of the statement "when(fileStore.putS3Object(eq(TEST_BUCKET_NAME)`eq(key)`contains(MediaType.TEXT_PLAIN_VALUE)`isNull()`any(InputStream.class)`eq(false)`any(Map.class)`isNull()`isNull())).thenReturn(s3Object(key`hexDigest));" is 206.,342
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testPutObject_md5_BadRequest,Long Statement,The length of the statement "mockMvc.perform(put("/testBucket/" + key).accept(MediaType.APPLICATION_XML).contentType(MediaType.TEXT_PLAIN_VALUE).content(FileUtils.readFileToByteArray(testFile)).header(CONTENT_MD5`base64Digest + 1)).andExpect(MockMvcResultMatchers.status().isBadRequest());" is 260.,342
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Long Statement,The length of the statement "errorResponse.setMessage("Your proposed upload is smaller than the minimum allowed object size." + " Each part must be at least 5 MB in size` except the last part.");" is 166.,365
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Long Statement,The length of the statement "mockMvc.perform(post("/testBucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 301.,365
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Magic Number,The method contains a magic number: 5L,365
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Magic Number,The method contains a magic number: 5L,365
