Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock,S3MockApplication,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_HTTPS_PORT; DEFAULT_HTTP_PORT; RANDOM_PORT; DEFAULT_SERVER_SSL_KEY_STORE; DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD; DEFAULT_SERVER_SSL_KEY_ALIAS; DEFAULT_SERVER_SSL_KEY_PASSWORD; PROP_INITIAL_BUCKETS; PROP_ROOT_DIRECTORY; PROP_HTTPS_PORT; PROP_HTTP_PORT; SERVER_SSL_KEY_STORE; SERVER_SSL_KEY_STORE_PASSWORD; SERVER_SSL_KEY_ALIAS; SERVER_SSL_KEY_PASSWORD; PROP_SECURE_CONNECTION; PROP_SILENT; LOG; context; fileStore; kmsKeyStore; environment; config; httpPort; initialBuckets; httpServerConnector
S3Mock,com.adobe.testing.s3mock,S3MockApplication.Config,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: httpPort; initialBuckets; httpServerConnector
S3Mock,com.adobe.testing.s3mock,S3MockApplication.Config,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsChunkDecodingInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOT; SERVER_SIDE_ENCRYPTION_AWS_KMS_KEYID; SERVER_SIDE_ENCRYPTION; NOT_SERVER_SIDE_ENCRYPTION; RANGE; COPY_SOURCE; NOT_COPY_SOURCE; COPY_SOURCE_RANGE; NOT_COPY_SOURCE_RANGE; METADATA_DIRECTIVE
S3Mock,com.adobe.testing.s3mock.util,MetadataUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,S3MockExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: arguments
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRuleTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: S3_MOCK_RULE; BUCKET_NAME; UPLOAD_FILE_NAME; s3Client
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,CustomCertificateTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEYSTORE_FILE_NAME; KEYSTORE_PASSWORD; KEY_ALIAS; s3mock
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE_NAME; S3MOCK_DEFAULT_HTTP_PORT; S3MOCK_DEFAULT_HTTPS_PORT; DEFAULT_IMAGE_NAME
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerJupiterTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerManualTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testng,S3MockListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
